product_IDs,sales_volumes,average_user_rating
1,1526,3.1
2,7736,3.8
3,6769,2.0
4,5135,2.6
5,4457,3.2
6,9039,3.9
7,3797,2.0
8,4047,3.3
9,9029,3.7
10,4249,4.2
11,3950,3.1
12,4112,1.8
13,2867,2.5
14,5862,2.6
15,8888,4.5
16,2371,1.9
17,7135,2.8
18,581,2.7
19,5375,3.9
20,6100,2.5
21,3925,4.1
22,1421,3.7
23,8903,1.1
24,7910,2.0
25,5747,4.6
26,5887,3.0
27,2241,4.7
28,6079,3.5
29,1618,2.9
30,8743,2.9
31,8219,2.5
32,4534,3.6
33,5252,3.2
34,8059,4.3
35,9628,2.5
36,7022,2.6
37,3645,1.5
38,1447,2.0
39,4495,3.1
40,8840,4.4
41,7691,4.1
42,6847,2.4
43,5279,2.9
44,8998,3.7
45,6735,2.1
46,2045,3.9
47,9370,4.9
48,4610,1.3
49,2924,4.4
50,4581,4.0
51,5947,2.6
52,5277,2.7
53,1094,2.1
54,2219,4.6
55,4282,4.4
56,3150,3.5
57,7984,2.1
58,9023,1.8
59,4127,1.9
60,9583,3.1
61,349,3.2
62,2675,4.1
63,6275,1.0
64,2365,1.5
65,7899,2.9
66,6228,2.3
67,4486,1.4
68,1430,3.2
69,431,2.3
70,8613,4.0
71,2002,3.0
72,5307,2.9
73,9107,1.8
74,5206,2.9
75,3231,2.7
76,3731,1.3
77,893,1.7
78,7559,1.7
79,4532,4.4
80,6247,1.2
81,4930,4.5
82,5154,2.0
83,9134,2.9
84,9869,4.5
85,5819,1.1
86,2007,4.7
87,1497,2.7
88,2276,1.1
89,6085,4.5
90,4657,4.5
91,3610,1.9
92,5729,3.5
93,5808,3.5
94,432,4.5
95,4446,4.0
96,7386,2.0
97,1976,3.9
98,3954,4.0
99,9637,1.7
100,7985,3.9
101,5469,3.2
102,196,2.9
103,262,1.8
104,7802,4.9
105,3412,1.8
106,5103,3.6
107,4335,4.2
108,3664,3.5
109,8992,5.0
110,4589,2.9
111,7241,2.8
112,7447,4.3
113,8698,4.9
114,1433,2.2
115,1877,4.7
116,1779,3.9
117,8637,2.8
118,285,1.7
119,9525,2.5
120,320,3.6
121,3262,4.3
122,1706,2.9
123,8553,1.2
124,3944,4.7
125,322,3.3
126,7017,4.6
127,3065,3.7
128,5970,4.4
129,4867,3.7
130,5536,3.3
131,393,3.0
132,913,3.6
133,5985,3.4
134,8941,5.0
135,1028,1.8
136,8662,3.2
137,7513,1.1
138,7637,2.0
139,8000,1.7
140,7639,3.3
141,4849,3.5
142,8504,5.0
143,2908,1.6
144,5826,3.1
145,5955,4.1
146,6085,2.4
147,4644,3.9
148,2066,2.0
149,2202,4.3
150,3112,4.4
151,5645,3.8
152,1702,4.9
153,4060,2.4
154,2173,1.1
155,3912,2.4
156,9850,3.5
157,5902,2.2
158,8999,1.6
159,1537,1.3
160,7442,2.8
161,9119,4.7
162,5134,2.1
163,2192,4.9
164,1857,5.0
165,8105,3.2
166,4205,2.5
167,4241,1.9
168,6394,4.3
169,5346,2.9
170,3224,4.0
171,7578,3.2
172,4142,2.4
173,8437,2.4
174,3595,2.2
175,5742,1.1
176,3588,2.4
177,5451,4.0
178,5204,1.7
179,7150,4.5
180,8960,3.5
181,5369,3.1
182,2283,1.3
183,4104,2.5
184,7501,1.7
185,6121,3.9
186,1309,1.8
187,1818,3.6
188,1010,2.0
