product_IDs,sales_volumes,average_user_rating
1,8891,3.1
2,6290,1.4
3,7230,1.7
4,6888,2.3
5,6295,4.5
6,5149,2.0
7,6406,4.8
8,3464,1.2
9,3171,4.5
10,2839,3.5
11,9930,4.0
12,1096,3.1
13,3207,1.4
14,2398,2.7
15,2835,2.9
16,8240,3.5
17,7063,2.6
18,1082,1.2
19,6949,2.9
20,3964,2.4
21,6938,2.6
22,5827,2.0
23,6786,1.4
24,8561,1.7
25,9549,2.9
26,9693,3.8
27,1208,1.8
28,1056,4.1
29,6327,1.2
30,8695,4.8
31,8988,3.3
32,9433,3.3
33,4585,1.9
34,4625,1.8
35,1116,1.8
36,2557,4.9
37,6887,4.7
38,4473,2.8
39,5582,1.9
40,6603,4.4
41,9953,1.8
42,5040,1.0
43,847,3.1
44,659,3.6
45,8217,3.2
46,9388,4.1
47,9490,1.1
48,3855,4.7
49,8000,2.8
50,6053,2.7
51,3308,4.8
52,22,3.0
53,3659,4.1
54,5438,3.3
55,8673,4.6
56,6825,2.3
57,7157,2.1
58,8856,3.9
59,1427,2.3
60,4109,1.3
61,3985,1.6
62,7580,1.2
63,4186,4.7
64,2829,3.5
65,6500,2.8
66,5856,4.2
67,2506,2.4
68,4646,3.1
69,8915,4.0
70,5297,2.9
71,4992,5.0
72,5199,1.4
73,4341,1.6
74,9819,4.3
75,8456,2.4
76,6354,1.4
77,2190,2.0
78,9914,2.1
79,5227,4.0
80,2551,4.9
81,501,2.8
82,8896,3.0
83,1381,1.6
84,6921,5.0
85,9302,1.4
86,42,1.8
87,5450,3.2
88,3326,3.5
89,8672,4.9
90,274,3.3
91,802,3.0
92,9543,1.2
93,5374,3.6
94,249,4.7
95,5834,1.0
96,1210,2.0
97,8686,4.0
98,8934,1.1
99,8485,2.8
100,1788,4.3
101,7436,1.0
102,1203,2.3
103,2480,2.9
104,9351,1.9
105,3561,4.0
106,5896,4.4
107,1909,2.4
108,3024,4.1
109,3474,2.8
110,1772,3.3
111,9533,1.3
112,6251,1.4
113,5562,4.0
114,1267,3.0
115,5844,4.8
116,2665,4.5
117,9517,2.8
118,1689,3.6
119,7337,3.6
120,2525,1.5
121,8429,4.5
122,6171,2.4
123,2445,1.2
124,2200,4.5
125,9347,1.1
126,8460,1.7
127,6200,2.0
128,3879,3.8
129,4333,1.2
130,6002,3.8
131,218,2.6
132,1103,4.2
133,1838,1.5
134,8670,4.1
135,9494,4.9
136,5040,3.6
137,8982,1.4
138,3865,4.7
139,1153,2.6
140,4961,1.7
141,1533,5.0
142,8667,4.2
143,4705,2.3
144,5694,4.2
145,6942,2.0
146,5315,4.9
147,8326,3.7
148,9738,3.4
149,9474,1.2
150,3760,4.7
151,121,4.8
152,805,3.3
153,5921,4.5
154,4675,3.0
155,7342,4.1
156,8564,4.8
157,3209,2.4
158,7340,2.9
159,8889,1.9
160,4860,3.5
161,6003,1.4
162,2207,1.7
163,8872,3.5
164,2648,4.8
165,5401,1.0
166,5541,3.6
167,4902,1.6
168,6520,1.9
169,2033,3.2
170,7306,3.8
171,8214,1.7
172,234,1.9
173,2952,2.1
174,2502,3.7
175,5565,4.6
176,2658,3.7
177,1431,4.5
178,4821,3.9
179,4976,2.2
180,3778,4.2
181,631,2.9
182,6781,1.1
183,3119,2.7
184,8010,2.9
185,6355,1.5
186,4197,2.6
187,415,4.9
188,1295,4.1
189,9241,2.3
190,1717,2.6
191,2455,1.3
192,8142,5.0
193,7112,3.1
194,536,2.6
195,8994,2.7
196,7172,1.2
197,304,1.5
198,6927,2.0
199,8985,1.3
200,7875,3.4
201,5406,3.1
202,2459,4.4
203,7932,1.4
204,7678,2.1
205,9980,4.4
206,67,3.5
207,550,3.9
208,9630,1.5
209,696,4.5
210,6699,3.9
211,7147,4.9
212,1331,1.5
213,4206,1.5
214,5234,2.1
215,5765,2.9
216,9661,4.0
217,3292,4.9
218,5018,1.5
219,6785,3.0
220,1521,1.3
221,6555,4.2
222,7439,4.3
223,747,1.6
224,6893,1.9
225,6564,4.4
226,2188,2.0
227,4254,4.6
228,650,1.2
229,9467,2.6
230,9015,3.7
231,9288,1.4
232,9652,3.2
233,7560,2.8
234,3601,2.0
235,916,4.6
236,9702,4.4
237,5101,2.0
238,1389,2.5
239,7671,4.4
240,5779,2.3
241,7140,1.8
242,248,2.2
243,5599,2.8
244,9368,3.0
245,5469,4.2
246,7889,2.7
247,4869,2.4
248,1184,4.8
249,976,1.1
250,5614,2.6
251,7077,4.5
252,7749,4.3
253,6570,4.2
254,7207,3.5
255,148,3.2
256,729,4.4
257,841,2.5
258,8001,2.2
259,4102,4.2
260,1640,2.5
261,3080,1.8
262,1264,4.4
263,4827,2.0
264,2317,5.0
265,5835,3.0
266,8266,4.7
267,5524,4.4
268,478,3.1
269,1458,1.4
270,3855,1.9
271,7302,4.5
272,1505,1.8
273,6193,4.0
274,9757,1.8
275,3490,4.6
276,9206,1.3
277,8175,3.8
278,5152,4.1
279,9353,3.3
280,2244,1.2
281,4569,1.8
282,1222,3.3
283,8621,3.5
284,5654,3.7
285,1784,1.6
286,1620,1.2
287,7057,2.5
288,7976,1.3
289,6910,3.7
290,713,4.6
291,1887,3.8
292,9928,4.2
293,8001,2.5
294,6429,2.2
295,1286,5.0
296,8402,4.1
297,3656,4.8
298,1172,3.5
299,8686,4.3
300,4950,2.3
301,9890,2.4
302,9773,2.7
303,371,1.6
304,9267,3.2
305,9519,1.5
306,997,4.1
307,454,1.3
308,9599,3.2
309,5895,2.7
310,1709,4.7
311,6260,2.0
312,5010,3.0
313,1639,2.5
314,4165,4.8
315,7180,3.0
316,3895,2.8
317,948,3.3
318,664,1.2
319,6596,4.1
320,5935,2.9
321,1996,2.9
322,1260,2.8
323,9748,2.0
324,4213,1.2
325,30,1.9
326,6797,1.6
327,8199,2.0
328,141,3.4
329,9481,3.4
330,6491,2.5
331,2371,1.7
332,4405,2.2
333,9393,3.1
334,1342,2.7
335,5874,3.6
336,6107,1.1
337,1474,3.7
338,7743,4.3
339,5476,3.9
340,8898,3.5
341,2578,3.6
342,6533,1.6
343,4222,1.5
344,3397,2.2
345,4181,2.9
346,1036,2.0
347,3063,1.6
348,404,4.8
349,4045,2.9
